d       s       a       m_i 
283 	11	328	1 1 5 5 5 5 69 197 453 453 453 
284 	11	334	1 1 5 5 5 5 69 197 197 709 709 
285 	11	339	1 1 5 5 5 5 5 5 261 773 773 
286 	11	341	1 1 5 5 5 5 5 5 5 5 5 
287 	11	345	1 1 5 5 5 5 5 133 389 389 389 
288 	11	346	1 1 5 5 5 5 5 133 389 901 1925 
289 	11	362	1 1 5 5 5 37 101 229 485 485 1509 
290 	11	367	1 1 5 5 5 37 101 229 229 229 229 
291 	11	369	1 1 5 5 5 37 37 37 293 805 1829 
292 	11	372	1 1 5 5 5 37 37 37 37 549 549 
293 	11	375	1 1 5 5 5 37 37 37 37 37 1061 
294 	11	376	1 1 5 5 5 37 37 165 421 933 933 
295 	11	381	1 1 5 5 5 37 37 165 165 677 1701 
296 	11	385	1 1 5 13 29 29 29 157 157 669 669 
297 	11	388	1 1 5 13 29 29 29 157 413 925 1949 
298 	11	392	1 1 5 13 29 29 29 29 29 541 1565 
299 	11	409	1 1 5 13 29 29 93 93 93 605 1629 
300 	11	415	1 1 5 13 29 29 93 93 349 349 1373 
301 	11	416	1 1 5 13 29 61 61 189 189 189 189 
302 	11	421	1 1 5 13 29 61 61 189 445 445 1469 
303 	11	428	1 1 5 13 29 61 61 61 317 317 317 
304 	11	431	1 1 5 13 29 61 61 61 317 829 1853 
305 	11	434	1 1 5 13 29 61 125 253 253 765 1789 
306 	11	439	1 1 5 13 29 61 125 253 509 1021 1021 
307 	11	446	1 1 5 13 29 61 125 125 381 893 1917 
308 	11	451	1 1 5 13 13 13 13 141 141 141 141 
309 	11	453	1 1 5 13 13 13 13 141 397 909 909 
310 	11	457	1 1 5 13 13 13 13 13 13 525 525 
311 	11	458	1 1 5 13 13 13 13 13 13 13 1037 
312 	11	471	1 1 5 13 13 13 77 205 461 461 1485 
313 	11	475	1 1 5 13 13 13 77 77 77 77 1101 
314 	11	478	1 1 5 13 13 13 77 77 333 333 333 
315 	11	484	1 1 5 13 13 45 45 173 429 429 429 
316 	11	493	1 1 5 13 13 45 45 45 301 301 1325 
317 	11	494	1 1 5 13 13 45 45 45 301 813 813 
318 	11	499	1 1 5 13 13 45 109 237 237 749 749 
319 	11	502	1 1 5 13 13 45 109 237 493 1005 2029 
320 	11	517	1 3 7 15 31 63 127 255 255 767 1791 
321 	11	518	1 3 7 15 31 63 127 255 255 255 255 
322 	11	524	1 3 7 15 31 63 127 127 127 127 127 
323 	11	527	1 3 7 15 31 63 127 127 127 639 1663 
324 	11	536	1 3 7 15 31 63 63 63 63 63 63 
325 	11	555	1 3 7 15 31 31 95 223 479 479 1503 
326 	11	560	1 3 7 15 31 31 31 31 31 31 1055 
327 	11	565	1 3 7 15 31 31 31 31 287 287 1311 
328 	11	569	1 3 7 15 31 31 31 159 159 671 671 
329 	11	570	1 3 7 15 31 31 31 159 159 159 1183 
330 	11	578	1 3 7 15 15 47 47 175 431 943 943 
331 	11	580	1 3 7 15 15 47 47 175 175 175 1199 
332 	11	587	1 3 7 15 15 47 47 47 303 303 1327 
333 	11	589	1 3 7 15 15 47 47 47 47 559 559 
334 	11	590	1 3 7 15 15 47 47 47 47 47 1071 
335 	11	601	1 3 7 15 15 47 111 111 111 623 623 
336 	11	607	1 3 7 15 15 47 111 111 367 367 1391 
337 	11	611	1 3 7 15 15 15 15 15 271 271 271 
338 	11	614	1 3 7 15 15 15 15 15 15 15 15 
339 	11	617	1 3 7 15 15 15 15 143 399 399 399 
340 	11	618	1 3 7 15 15 15 15 143 399 911 1935 
341 	11	625	1 3 7 15 15 15 79 79 79 591 1615 
342 	11	628	1 3 7 15 15 15 79 79 335 847 1871 
343 	11	635	1 3 7 15 15 15 79 207 207 719 1743 
344 	11	641	1 3 7 7 23 23 23 151 407 919 1943 
345 	11	647	1 3 7 7 23 23 23 151 151 151 151 
346 	11	654	1 3 7 7 23 23 23 23 23 535 1559 
347 	11	659	1 3 7 7 23 23 87 215 215 215 215 
348 	11	662	1 3 7 7 23 23 87 215 471 471 471 
349 	11	672	1 3 7 7 23 55 55 55 311 311 1335 
350 	11	675	1 3 7 7 23 55 55 55 311 823 823 
351 	11	682	1 3 7 7 23 55 55 183 439 439 1463 
352 	11	684	1 3 7 7 23 55 55 183 183 695 695 
353 	11	689	1 3 7 7 23 55 119 119 119 119 1143 
354 	11	695	1 3 7 7 23 55 119 119 375 887 887 
355 	11	696	1 3 7 7 23 55 119 247 247 759 759 
356 	11	713	1 3 7 7 7 7 71 71 327 839 1863 
357 	11	719	1 3 7 7 7 7 71 71 71 71 71 
358 	11	724	1 3 7 7 7 7 7 135 391 391 391 
359 	11	733	1 3 7 7 7 7 7 7 263 775 1799 
360 	11	734	1 3 7 7 7 7 7 7 263 263 263 
361 	11	740	1 3 7 7 7 39 103 103 103 615 615 
362 	11	747	1 3 7 7 7 39 103 231 487 999 999 
363 	11	749	1 3 7 7 7 39 103 231 231 231 1255 
364 	11	752	1 3 7 7 7 39 39 39 39 551 551 
365 	11	755	1 3 7 7 7 39 39 39 39 39 1063 
366 	11	762	1 3 7 7 7 39 39 167 167 679 679 
367 	11	767	1 3 7 7 7 39 39 167 423 935 935 
368 	11	770	1 3 3 11 27 27 91 219 219 219 1243 
369 	11	782	1 3 3 11 27 27 91 91 347 859 859 
370 	11	784	1 3 3 11 27 27 27 155 411 923 1947 
371 	11	787	1 3 3 11 27 27 27 155 411 411 411 
